channel_id,channel_views,channel_likes,channel_name
UCXuqSBlHAE6Xw-yeJA0Tunw,18479904,648909,Linus Tech Tips
UCWv7vMbMWH4-V0ZXdmDpPBA,1221030,30175,Programming with Mosh
UChIZGfcnjHI0DG4nweWEduw,1518378,63010,TechSource
UC4SVo0Ue36XCfOyb5Lh1viQ,176481,9178,Bro Code
UCVeW9qkBjo3zosnqUbG7CFw,221705,7993,John Hammond
UCeeFfhMcJa1kjtfZAGskOCA,3726173,190714,TechLinked
UCvjgXvBlbQiydffZU7m1_aw,166830,6018,The Coding Train
UCvWWf-LYjaujE50iYai8WgQ,626625,36326,Paul's Hardware
UCCezIgC97PvUuR4_gbFUs5g,241543,7965,Corey Schafer
UCVHFbqXqoYvEWM1Ddxl0QDg,79637394,165100,Android Developers
UCmtyQOKKmrMVaKuRXz02jbQ,4850205,282146,Sebastian Lague
UCSOpcUkE-is7u7c4AkLgqTw,2030764,94419,MrMobile [Michael Fisher]
UC1szFCBUWXY3ESff8dJjjzw,175185,8649,Loi Liang Yang
UCmXmlB4-HJytD7wek0Uo97A,2256795,36643,JavaScript Mastery
UC0ZTPkdxlAKf-V33tqXwi3Q,61629,2465,HackerSploit
UCW6J17hZ_Vgr6cQgd_kHt5A,246976,12761,MobileTechReview
UC0ArlFuFYMpEewyRBzdLHiw,66313,3463,The Cyber Mentor
UCStk7sZhuFJhxdvyXksdj5Q,1071738,30150,CRATER
UCd6MoB9NC6uYN2grvUNT-Zg,4627,41,Amazon Web Services
UC68KSmHePPePCjW4v57VPQg,17727065,898744,Python Programmer
UC80PWRj_ZU8Zu0HSMNVwKWw,15354,752,Codevolution
UCB6dvaWu0N8uVq2yKsZ5s5g,30692422,685939,SuperSimpleDev
UCrM7B7SL_g1edFOnmj-SDKg,38000,714,Bloomberg Technology
UC2D6eRvCeMtcF5OGHf1-trw,37694,1111,CodeWithChris
UC-v54XQalOcx5yco3aTixrg,150693,5426,Chigz Tech Reviews
UCVPjtOVcnKaSRI8IO3KSetA,152810,7012,zSecurity
UC0uAeNHLLuAovOTHI-aOZiQ,591700,24093,PC Builder
UCzNf0liwUzMN6_pixbQlMhQ,439342,19821,Coder Coder
UCaO6VoaYJv4kS-TQO_M-N_g,639383,16196,Clément Mihailescu
UC0Q7Hlz75NYhYAuq6O0fqHw,299787,11691,Jeremy's IT Lab
UCcIXc5mJsHVYTZR1maL5l9w,130127,3926,DeepLearningAI
UCv9bWHC0DIn-Xb7ALNoOGWQ,36101,587,w3schools.com
UC6Jxh95N32m1JvKG_-fQ6QQ,1405367,60781,OzTalksHW
UCEWiIE6Htd8mvlOR6YQez1g,9593,227,Cisco
UC9ESQKs98jVWjjUEWkvTMvA,102019,8635,WsCube Cyber Security
UCEBpSZhI1X8WaP-kY_2LLcg,17448,652,365 Data Science
UCK4ji45I-zxeWXAFKmu3p6Q,274842,5175,NetworKing
UCMndKhkWZp9EOWPrRI4V6bA,3519,26,Software Engineering With Scott Moore
UCraiFqWi0qSIxXxXN4IHFBQ,77991,2523,Be A Better Dev
UCT6e73e0M6_YoGD_p77z_zQ,1319055,37881,BRO COOLING
UCAA5ZKM0sUwzKhvcabv48Jw,331944,16234,GeekaWhat
UCCfqyGl3nq_V0bo64CjZh8g,113187,4384,Modern Software Engineering
UCck1m7zZdzioiUzqhzpdNPw,214451,7477,Tech With Lucy
UCwrVwiJllwhJUKXKmjLcckQ,236806,7476,Apple Developer
UCSX3MR0gnKDxyXAyljWzm0Q,8988,324,Computer Science Lessons
UCzqlzMvlYyWVxFcNMZYzE0g,231736,5336,Consumer Tech Review
UCPbwhExawYrn9xxI21TFfyw,653571,3013,The Pragmatic Engineer
UCvA_wgsX6eFAOXI8Rbg_WiQ,36577,1326,tutoriaLinux
UCI0vQvr9aFn27yR6Ej6n5UA,21260,505,Real Python
UCMLtBahI5DMrt0NPvDSoIRQ,116346,4077,Machine Learning Street Talk
