channel_id,channel_views,channel_likes,channel_name
UC-v54XQalOcx5yco3aTixrg,150693,5426,Chigz Tech Reviews
UC0ArlFuFYMpEewyRBzdLHiw,66313,3463,The Cyber Mentor
UC0Q7Hlz75NYhYAuq6O0fqHw,299787,11691,Jeremy's IT Lab
UC0YHNueF-3Nh3uQT0P4YQZw,24968,194,Computer Science Center
UC0ZTPkdxlAKf-V33tqXwi3Q,61629,2465,HackerSploit
UC0uAeNHLLuAovOTHI-aOZiQ,591700,24093,PC Builder
UC1Yf7IBfhSNFTIyb7v83o_g,324556,9189,AWS with Chetan
UC1YoWn9TDojkb9sav-bvykA,154417,5424,whitesec cyber security 
UC1szFCBUWXY3ESff8dJjjzw,175185,8649,Loi Liang Yang
UC2D6eRvCeMtcF5OGHf1-trw,37694,1111,CodeWithChris
UC2TP2EQLvB-w1wrRpEH95dQ,2045,17,CloudWolf AWS
UC36jlTVgiE271iqkaNKi4jg,222841,5564,techandtips
UC3XGlNq8O5hZlZBJlSFB4jg,18054,1240,Radu Mariescu-Istodor
UC4SVo0Ue36XCfOyb5Lh1viQ,176481,9178,Bro Code
UC4Xt-DUAapAtkfaWWkv4OAw,39503,894,Programming and Math Tutorials
UC4lM4hz_v5ixNjK54UwPEVw,51616,1554,Machine Learning and AI Academy
UC5jiGyfEcnFJNjtyS40c3Zg,518,11,AWS Partner Network
UC5vr5PwcXiKX_-6NTteAlXw,27364,830,Python Tutorials for Digital Humanities
UC68KSmHePPePCjW4v57VPQg,17727065,898744,Python Programmer
UC6Jxh95N32m1JvKG_-fQ6QQ,1405367,60781,OzTalksHW
UC7iCSSpCsNw34E1o0DwgJBA,329402,7313,Gadget Tech Tips
UC7kjWIK1H8tfmFlzZO-wHMw,9113,287,The TWIML AI Podcast with Sam Charrington
UC7pdnrWVj8eDfCI0bRe_0kQ,153452,2942,Linux Training Academy
UC80PWRj_ZU8Zu0HSMNVwKWw,15354,752,Codevolution
UC9ESQKs98jVWjjUEWkvTMvA,102019,8635,WsCube Cyber Security
UCA7HuPQ_JRBi7KN8muvxc2w,19132,604,Cloud Simplified
UCAA5ZKM0sUwzKhvcabv48Jw,331944,16234,GeekaWhat
UCB6dvaWu0N8uVq2yKsZ5s5g,30692422,685939,SuperSimpleDev
UCBKM3HATRILZyG9jGNJKGXQ,3386,77,Software Engineering Daily
UCBKhdILeDie8iLkap216g7g,390927,13794,In Depth Tech Reviews
UCCd3-JX7e8uGZx00i5646jg,3759,151,Daily Tech News Show
UCCezIgC97PvUuR4_gbFUs5g,241543,7965,Corey Schafer
UCCfqyGl3nq_V0bo64CjZh8g,113187,4384,Modern Software Engineering
UCCoUYv7E2VadMNnIHSdKumA,181841,6831,Tech Sky - Ethical Hacking
UCDsEHTvh-YO80AZna7X7UVA,96423,780,WB Web Development Solutions
UCEBpSZhI1X8WaP-kY_2LLcg,17448,652,365 Data Science
UCEV-Te6cqlR5MqZa2IuvWog,1022568,16693,Cisco Config
UCEWiIE6Htd8mvlOR6YQez1g,9593,227,Cisco
UCEcvESl6itwIlIVgjLtvypw,12103,861,Tech News
UCGWZY-0pONnKmF98dhZy9CQ,59206,894,Stephane Maarek
UCGgAsNJ-w5v4c4iyOH_hGig,795919,11501,Learn Computer Science
UCHHIyLEhmDENeTgGAjFt3lw,80413,1620,PC Building Simulator
UCHZyqB9qHGGGw5QeRVEbQDg,103214,3777,Linux Guides
UCHa8J-xnRYOg5VuudfWpBgg,166911,10012,ColorCode
UCHd1qamEkVSlTWkEqIqJbEQ,28542,1194,Visual Computer Science
UCHxA_q3cXYYx8d1svHkFRZw,36603,581,The Tech Reviewer
UCI0vQvr9aFn27yR6Ej6n5UA,21260,505,Real Python
UCIZFrMwq1lXOA2899t7d5Aw,21471,1341,Software Engineering - ALX
UCJGQuA3wmheCHiTBBBlt8pA,61844,1388,PLC Programming Tutorials Tips and Tricks
UCK4ji45I-zxeWXAFKmu3p6Q,274842,5175,NetworKing
UCKPSmMfDsXTKrCZApukcJ7A,13269,453,Talk Python
UCKvjEXuc-tomU0sW_iBZ3fw,551,20,Software Engineering
UCLu_yApfhAgm66qumv4nl4Q,24442,366,Tech Tips
UCM2fAU1oR3k4VCEMAkq4fcA,45366,1309,Web Design Mastery
UCMLtBahI5DMrt0NPvDSoIRQ,116346,4077,Machine Learning Street Talk
UCMZFwxv5l-XtKi693qMJptA,29078,1023,Coding Addict
UCMbtqTGdSsxYYhhTpV4lSTQ,3740,37,Super Data Science: ML & AI Podcast with Jon Krohn
UCMndKhkWZp9EOWPrRI4V6bA,3519,26,Software Engineering With Scott Moore
UCPbwhExawYrn9xxI21TFfyw,653571,3013,The Pragmatic Engineer
UCQVE2WU-h_dszY5If6oFvFg,1084,80,Web Dev Mastery
UCRQhZGXC0WK85YRXl7nGX0w,15784,704,"All Things JavaScript, LLC"
UCSOpcUkE-is7u7c4AkLgqTw,2030764,94419,MrMobile [Michael Fisher]
UCSX3MR0gnKDxyXAyljWzm0Q,8988,324,Computer Science Lessons
UCStk7sZhuFJhxdvyXksdj5Q,1071738,30150,CRATER
UCT6e73e0M6_YoGD_p77z_zQ,1319055,37881,BRO COOLING
UCTVGjydBHM2g5_K18MZqE4Q,1996,57,Programming in Python
UCTnOFmMwZIi7jJYS_nAfeyQ,122326,4296,The Helpful Hacker
UCVHFbqXqoYvEWM1Ddxl0QDg,79637394,165100,Android Developers
UCVPjtOVcnKaSRI8IO3KSetA,152810,7012,zSecurity
